,1969Y,1970Y,1971Y,1972Y,1973Y,1974Y,1975Y,1976Y,1977Y,1978Y,1979Y,1980Y,1981Y,1982Y,1983Y,1984Y,1985Y,1986Y,1987Y,1988Y,1989Y,1990Y,1991Y,1992Y,1993Y,1994Y,1995Y,1996Y,1997Y,1998Y,1999Y,2000Y,2001Y,2002Y,2003Y,2004Y,2005Y,2006Y,2007Y,2008Y,2009Y,2010Y,2011Y,2012Y,2013Y,2014Y,2015Y,2016Y,2017Y,2018Y,2019Y,2020Y,2021Y,2022Y,2023Y
nbi_m_2529_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0390411675,35.2265197875,38.0088616325,36.3799542775,41.589620855,40.6036217775,33.65780787,32.0446650025,35.51647994025,40.91583289475,43.783230373,45.961093919,51.5829306745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_2529_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.507478548,33.694957168,36.48943598575,35.31404648475,39.93995453625,39.032806253,32.51859088575,30.69760341775,33.88140439525,39.50582595975,42.03618499775,44.3568284120001,50.051368055,52.72286240725,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_2574_souren,426,448,495,517,553,590,635,683,717,759,792,841,857,887,914,961,985,1024,1055,1077,1096,1098,1109,1100,1144,1160,1158,1169,1165,1128,1153,1144,1184,1163,1185,1180,1175,1189,1157,1125,1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_3034_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5410101375,34.74431286,36.874506585,32.0932665325,27.3741333225,24.458409845,22.2528801975,19.706703493,20.44040995425,23.07624274575,25.0579443885,25.72466644025,29.66243579525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_3034_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.41992995075,33.62323267325,35.50532052475,30.73159988425,26.0615231265,23.215022494,21.327736343,18.590201014,19.40495300825,22.402122293,23.93356835725,24.263607012,28.5413556085,26.7517270465,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_3539_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.292128305,32.711060195,37.4416608125,34.97022838,34.8149787725,32.2697412775,33.1192961425,25.91282439925,25.8388621205,30.045591395,31.858589059,32.031072355,33.21637019225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_3539_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.19085344625,31.60978533625,36.170250452,33.801830406,33.66211633725,30.6545793595,31.604510439,24.37511674075,24.5111490275,28.948255071,30.47150929075,30.37997349825,32.1150953335,29.70601984675,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_4044_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.673121755,35.57391651,46.6420129975,42.3996160075,39.889947085,40.818373575,40.7225747275,35.289242654,34.834099008,39.20914364125,42.00742203625,40.1997745095,48.04047179175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_4044_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.84728778675,33.74808254175,45.1538353157501,40.7853754007499,38.22556051425,38.98322097175,39.221446729,33.58577377275,32.9407594205,37.74763327125,40.54082457675,38.65140604925,46.2146378235,43.2194968955,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_4549_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0053825825,46.5365162174999,45.18954196,43.0729856774999,41.7352772825,42.403878165,42.9967522475,41.3516377630001,42.0355446909999,42.859946123,40.0284935985,42.65445109225,48.35758575325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_4549_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.58386237175,49.1149960067499,48.50814485325,45.9084701335,44.2789477315,44.7748463992501,46.0564198145001,43.9491953655,44.19889533375,45.22587883225,41.94678727125,44.73657273925,50.9360655425,52.66954803025,NA,NA,NA,NA,NA,NA,NA,NA,NA
